label,start,mid,end
6,182,218,260
4,270,281,312
8,302,316,335
4,335,348,372
8,374,390,420
4,422,432,460
7,449,467,489
3,489,495,522
6,872,912,955
3,965,977,1007
8,1003,1009,1034
3,1043,1050,1090
8,1074,1080,1112
3,1095,1121,1143
7,1140,1152,1178
3,1162,1175,1206
1,1606,1670,1726
8,1725,1740,1770
4,1766,1775,1809
8,1791,1805,1833
8,1824,1839,1869
8,1865,1877,1904
4,1902,1909,1951
7,1916,1945,1964
3,1966,1972,2000
8,1990,1998,2018
1,2180,2245,2292
8,2291,2309,2334
6,2643,2677,2720
4,2731,2740,2777
7,2762,2782,2805
3,2806,2812,2837
7,2825,2841,2871
3,2860,2867,2900
6,3200,3242,3281
4,3292,3301,3338
7,3318,3347,3378
1,3764,3822,3865
8,3874,3888,3924
4,3907,3931,3965
8,3948,3963,3993
4,3977,4003,4033
8,4016,4040,4060
1,4186,4255,4308
8,4306,4322,4338
4,4346,4361,4397
8,4376,4391,4416
4,4407,4417,4461
8,4438,4454,4478
4,4469,4493,4530
8,4508,4524,4549
4,4537,4548,4590
8,4569,4589,4620
4,4611,4623,4656
8,4640,4655,4677
4,4676,4683,4711
5,4857,4898,4938
4,4952,4959,4991
7,4976,4998,5031
3,5009,5023,5045
6,5400,5437,5480
4,5489,5499,5545
7,5515,5539,5567
3,5553,5573,5600
8,5589,5609,5643
4,5625,5640,5655
8,5655,5679,5694
3,5694,5718,5738
7,5738,5760,5767
2,6167,6218,6262
8,6262,6287,6306
2,6564,6624,6668
8,6668,6693,6709
4,6709,6730,6742
8,6742,6757,6771
4,6771,6786,6803
8,6803,6824,6841
4,6841,6863,6874
7,6874,6894,6906
3,6906,6919,6937
6,7436,7475,7518
3,7518,7539,7555
8,7555,7577,7593
4,7593,7614,7625
6,7939,7989,8031
4,8031,8050,8065
8,8065,8087,8100
4,8100,8114,8130
8,8130,8153,8169
4,8169,8189,8203
8,8203,8223,8232
4,8232,8245,8262
8,8262,8283,8297
1,8624,8671,8713
1,9074,9125,9171
8,9171,9195,9208
4,9208,9227,9239
7,9239,9263,9277
3,9277,9292,9305
8,9305,9320,9334
4,9334,9354,9373
8,9373,9396,9413
4,9413,9434,9444
8,9444,9459,9473
5,9798,9837,9877
4,9877,9898,9911
7,9911,9939,9951
4,9951,9963,9979
8,9979,9999,10017
4,10017,10039,10050
8,10050,10065,10080
6,10503,10539,10585
4,10585,10607,10618
8,10618,10637,10649
4,10649,10664,10682
8,10682,10702,10720
3,10720,10748,10759
7,10759,10771,10790
1,11086,11140,11182
7,11182,11217,11233
1,11548,11597,11639
8,11639,11659,11676
4,11676,11698,11708
