label,start,end
6,104,128
4,137,165
8,171,199
4,201,233
8,240,283
4,286,307
8,304,333
4,337,379
8,382,407
3,414,447
8,452,479
4,488,525
7,527,555
3,555,577
8,569,598
4,601,624
6,925,966
4,975,1002
8,1013,1041
4,1053,1081
7,1082,1105
3,1109,1136
8,1140,1159
4,1162,1193
7,1203,1236
4,1239,1259
1,1647,1747
8,1758,1789
4,1799,1822
1,2120,2248
8,2252,2275
3,2287,2319
8,2331,2361
4,2365,2396
8,2396,2428
3,2427,2459
7,2451,2476
5,2765,2821
4,2833,2860
7,2863,2897
4,2902,2926
8,2937,2971
4,2970,3002
8,3007,3032
6,3320,3386
3,3393,3433
7,3428,3469
4,3481,3504
7,3507,3534
2,3927,4010
8,4023,4059
4,4063,4087
7,4099,4123
3,4126,4150
8,4147,4171
4,4176,4200
7,4208,4238
4,4243,4266
7,4274,4299
3,4302,4316
8,4322,4339
4,4345,4377
8,4390,4422
4,4422,4457
8,4453,4481
4,4488,4516
7,4538,4558
3,4556,4583
7,4585,4614
2,4931,5015
8,5019,5057
4,5062,5093
5,5367,5410
3,5419,5438
7,5446,5470
6,5830,5897
4,5904,5932
8,5939,5967
4,5980,6004
8,6009,6043
3,6051,6078
7,6082,6111
4,6112,6139
8,6148,6184
4,6186,6209
7,6231,3261
1,6816,6874
7,6890,6918
3,6922,6945
7,6953,6970
1,7248,7310
8,7323,7355
4,7364,7389
8,7391,7416
6,7882,7950
3,7964,7997
7,8008,8042
3,8043,8071
8,8074,8095
4,8099,8127
7,8132,8169
6,8435,8506
3,8518,8536
8,8541,8571
2,8888,8970
7,8985,9018
